MOIS,CLIENT_ID,pret_anterieur,compte_commercial,carte_MC,NSF,PH_autre_FI,sphere_epargne,sphere_financement,sphere_transaction,nb_produit,relation_BNC,vol_MC,vol_epargne,vol_financement,vol_transaction,TEF,mono_produit,PH
31Oct2018 0:00:00,00000000388737,1,0,0,0,1,0,1,1,2,15,,,663000,2990,2,0,0
31Dec2018 0:00:00,00000000423675,1,0,1,0,0,0,0,1,3,11,15010,,,2960,1,0,0
31Aug2018 0:00:00,00000000851493,0,0,0,0,0,1,0,1,4,1,,198000,,3220,2,0,0
31Mar2019 0:00:00,00000000881835,0,0,1,0,1,1,0,1,2,11,23600,197000,,3250,2,0,0
31Jul2018 0:00:00,00000000944614,0,0,0,0,0,0,0,1,1,9,,,,800,1,1,0
31May2018 0:00:00,00000000900551,0,0,1,0,1,0,0,1,1,16,14800,,,1430,1,1,0
31Dec2018 0:00:00,00000000905804,0,0,0,0,0,0,0,0,0,9,,,,,0,0,0
31Aug2018 0:00:00,00000000761087,0,0,1,0,1,0,0,1,1,8,20610,,,820,1,1,0
28Feb2019 0:00:00,00000000966547,0,0,1,0,0,1,0,1,2,10,21240,151000,,2050,2,0,0
30Sep2018 0:00:00,00000000781976,0,0,0,0,0,1,1,0,2,8,,122000,303000,,2,0,0
31Aug2018 0:00:00,00000000921683,0,0,0,0,0,0,0,1,1,9,,,,3850,1,1,0
31Aug2018 0:00:00,00000000630057,1,0,1,0,0,0,0,1,1,10,25260,,,590,1,1,0
31Aug2018 0:00:00,00000000118281,0,0,1,0,0,1,0,1,2,10,25980,14000,,720,2,0,0
31Oct2018 0:00:00,00000000985677,0,1,1,0,0,1,1,1,3,3,21730,171000,333000,3460,3,0,0
31Aug2018 0:00:00,00000000533695,0,1,0,0,0,0,1,1,2,10,,,531000,3170,2,0,0
31Jul2018 0:00:00,00000000877445,0,0,0,0,1,1,1,1,3,17,,104000,540000,2060,3,0,0
31Dec2018 0:00:00,00000000055757,0,0,0,0,0,0,0,1,1,15,,,,800,1,1,0
31Mar2018 0:00:00,00000000676741,0,1,1,0,1,0,0,1,3,5,20390,,,2940,1,0,0
31May2018 0:00:00,00000000812310,0,0,1,0,0,0,0,1,1,0,24790,,,1810,1,1,1
31Mar2019 0:00:00,00000000953085,0,0,1,0,0,0,1,1,2,13,16190,,243000,2520,2,0,0
30Nov2018 0:00:00,00000000852567,0,0,0,0,1,0,0,1,3,8,,,,2700,1,0,0
31Jan2019 0:00:00,00000000548398,0,0,0,0,1,0,0,1,1,14,,,,2410,1,1,0
30Jun2018 0:00:00,00000000036787,0,0,0,0,0,1,1,1,3,13,,148000,533000,1090,3,0,0
30Sep2018 0:00:00,00000000877083,0,0,0,0,0,1,0,1,2,3,,149000,,3180,2,0,0
31May2018 0:00:00,00000000600373,0,1,0,0,0,1,1,1,3,5,,97000,582000,2440,3,0,0
30Nov2018 0:00:00,00000000459705,0,0,1,1,0,1,0,1,2,13,21810,144000,,3010,2,0,0
31May2018 0:00:00,00000000977284,0,0,1,0,0,1,1,1,3,1,21270,187000,299000,2850,3,0,0
31Oct2018 0:00:00,00000000549816,0,0,0,0,0,0,1,1,2,7,,,557000,970,2,0,1
30Jun2018 0:00:00,00000000410301,0,0,0,0,0,1,0,0,1,5,,206000,,,1,1,0
30Apr2018 0:00:00,00000000970639,0,0,0,0,0,1,1,1,3,10,,197000,512000,1300,3,0,0
31Jul2018 0:00:00,00000000906660,0,1,1,0,1,0,0,1,1,12,8420,,,1910,1,1,1
30Sep2018 0:00:00,00000000607593,0,0,1,0,1,0,0,1,1,13,18160,,,1460,1,1,1
31May2018 0:00:00,00000000985080,0,0,0,0,0,0,0,1,2,14,,,,1780,1,0,1
30Apr2018 0:00:00,00000000864805,0,0,1,0,0,0,0,1,1,11,13960,,,1980,1,1,0
28Feb2019 0:00:00,00000000900279,0,1,0,0,1,0,1,1,2,0,,,537000,1410,2,0,0
31Jan2019 0:00:00,00000000973687,0,1,0,0,0,1,1,1,3,9,,122000,354000,1840,3,0,0
30Apr2018 0:00:00,00000000946083,0,0,1,0,0,0,1,1,3,12,16170,,92000,2470,2,0,0
31Mar2019 0:00:00,00000000920102,1,1,0,0,0,1,0,1,2,15,,154000,,1710,2,0,0
28Feb2019 0:00:00,00000000992346,0,1,1,0,1,1,0,1,4,3,21360,178000,,4210,2,0,0
31May2018 0:00:00,00000000138321,1,1,0,0,0,0,0,1,1,15,,,,1980,1,1,0
30Nov2018 0:00:00,00000000111862,0,0,0,0,1,0,0,1,1,17,,,,1560,1,1,0
31May2018 0:00:00,00000000740511,0,0,0,0,0,0,0,0,0,11,,,,,0,0,0
31Jan2019 0:00:00,00000000942220,0,0,1,0,0,0,0,1,1,11,14720,,,2890,1,1,0
31Dec2018 0:00:00,00000000589206,0,0,0,0,1,0,1,1,2,11,,,594000,2180,2,0,0
31Dec2018 0:00:00,00000000949005,0,0,1,0,0,0,0,1,1,10,17080,,,2220,1,1,0
30Apr2018 0:00:00,00000000980205,0,0,1,0,1,0,0,1,1,16,19700,,,2070,1,1,0
31Jul2018 0:00:00,00000000783760,0,1,1,0,0,1,0,1,3,11,25270,148000,,100,2,0,0
31Dec2018 0:00:00,00000000032365,0,0,1,0,0,0,0,1,1,5,24670,,,4150,1,1,0
30Nov2018 0:00:00,00000000936381,0,0,0,0,0,0,0,1,1,13,,,,1250,1,1,0
30Nov2018 0:00:00,00000000819319,0,0,1,0,0,1,1,1,3,13,21590,176000,344000,3210,3,0,0
30Nov2018 0:00:00,00000000776255,0,0,1,0,0,0,0,1,1,3,27450,,,2300,1,1,0
31Oct2018 0:00:00,00000000013671,0,0,0,0,1,1,1,1,3,9,,87000,442000,3150,3,0,0
31Mar2018 0:00:00,00000000443551,0,1,0,0,1,0,0,0,0,8,,,,,0,0,0
31Oct2018 0:00:00,00000000058685,0,0,0,0,0,1,0,0,1,6,,117000,,,1,1,0
30Nov2018 0:00:00,00000000848596,0,0,1,0,0,0,0,1,3,15,17300,,,1900,1,0,0
30Sep2018 0:00:00,00000000313525,1,0,1,0,0,1,0,1,2,7,13950,104000,,3120,2,0,0
31Dec2018 0:00:00,00000000719974,0,0,1,0,1,1,0,1,2,13,15700,165000,,1800,2,0,0
30Sep2018 0:00:00,00000000918528,0,0,1,0,0,0,0,1,1,7,23120,,,2800,1,1,0
30Nov2018 0:00:00,00000000848332,0,0,0,0,0,1,0,1,2,17,,81000,,200,2,0,0
30Nov2018 0:00:00,00000000946063,0,0,1,0,0,0,0,1,1,15,19890,,,2010,1,1,0
31Jan2019 0:00:00,00000000744059,0,0,0,0,1,1,0,0,1,0,,106000,,,1,1,0
31Mar2019 0:00:00,00000000977611,0,0,1,0,1,0,0,1,1,14,22300,,,3230,1,1,0
31Dec2018 0:00:00,00000000505197,1,0,0,0,1,1,0,1,2,15,,217000,,3230,2,0,0
31Mar2019 0:00:00,00000000837172,0,0,0,0,0,0,1,1,2,7,,,581000,730,2,0,0
31Aug2018 0:00:00,00000000963204,0,0,0,1,1,1,0,1,2,11,,116000,,730,2,0,0
31Mar2018 0:00:00,00000000542802,0,1,1,0,0,0,0,1,1,15,16560,,,1770,1,1,1
31Aug2018 0:00:00,00000000953736,0,0,1,0,0,0,0,1,1,0,20410,,,2460,1,1,0
31Oct2018 0:00:00,00000000289260,0,0,0,0,0,1,0,1,2,1,,183000,,1320,2,0,1
31Jul2018 0:00:00,00000000553395,0,1,0,0,0,1,0,1,2,7,,187000,,430,2,0,0
31Mar2019 0:00:00,00000000953176,0,0,0,0,1,1,1,1,3,8,,127000,472000,2790,3,0,0
31Aug2018 0:00:00,00000000960203,1,0,0,0,0,0,0,1,1,11,,,,2290,1,1,0
31Aug2018 0:00:00,00000000023064,0,0,0,0,1,1,1,1,3,12,,273000,355000,3580,3,0,0
31Oct2018 0:00:00,00000000406748,0,0,1,0,0,1,1,1,3,18,15140,152000,371000,2400,3,0,0
28Feb2019 0:00:00,00000000435319,0,1,0,0,1,0,0,1,1,16,,,,1960,1,1,0
31Aug2018 0:00:00,00000000741986,0,0,0,0,0,0,0,1,1,9,,,,1720,1,1,0
31Jul2018 0:00:00,00000000806708,0,1,1,0,0,1,0,1,2,9,21280,187000,,3300,2,0,0
31Mar2018 0:00:00,00000000897485,0,0,0,0,1,1,0,1,2,21,,206000,,2220,2,0,0
31Oct2018 0:00:00,00000000489328,0,1,0,0,0,0,0,1,1,8,,,,2470,1,1,0
31May2018 0:00:00,00000000876004,0,0,0,0,0,0,0,1,2,14,,,,1670,1,0,0
31Jul2018 0:00:00,00000000983837,0,1,0,0,0,0,0,0,0,18,,,,,0,0,0
31May2018 0:00:00,00000000989302,0,0,1,0,1,0,0,1,1,17,23980,,,1020,1,1,0
31Jul2018 0:00:00,00000000326388,0,0,0,0,1,0,1,1,2,7,,,894000,100,2,0,0
31Aug2018 0:00:00,00000000306148,0,0,1,0,0,0,1,1,2,6,24220,,561000,1910,2,0,1
31Jan2019 0:00:00,00000000962612,0,1,0,0,0,1,0,1,2,15,,160000,,3050,2,0,0
30Apr2018 0:00:00,00000000981456,0,0,0,0,0,0,0,1,2,14,,,,1560,1,0,1
31Aug2018 0:00:00,00000000147258,0,1,1,0,1,0,0,1,1,10,14780,,,1960,1,1,0
30Sep2018 0:00:00,00000000628626,1,1,1,0,0,0,0,1,1,11,14890,,,4190,1,1,0
31Jan2019 0:00:00,00000000962875,0,1,0,1,0,0,0,1,1,2,,,,2340,1,1,0
30Sep2018 0:00:00,00000000765695,0,0,1,0,0,1,0,1,2,11,23080,125000,,2280,2,0,0
31Mar2018 0:00:00,00000000868074,0,1,1,0,1,1,0,1,2,16,19140,123000,,1090,2,0,0
31May2018 0:00:00,00000000754470,0,1,1,0,0,0,0,1,1,2,19040,,,2810,1,1,1
31Mar2018 0:00:00,00000000860501,0,0,1,1,1,0,0,1,1,9,17190,,,1680,1,1,0
31Dec2018 0:00:00,00000000599294,1,0,0,0,1,0,0,1,1,5,,,,2280,1,1,0
30Nov2018 0:00:00,00000000907179,0,0,1,0,0,1,0,1,2,15,14760,36000,,2330,2,0,0
31Jul2018 0:00:00,00000000025979,0,0,1,0,1,1,0,1,2,7,20690,74000,,2490,2,0,0
31Oct2018 0:00:00,00000000131854,0,1,0,0,0,1,0,1,2,13,,196000,,990,2,0,0
30Jun2018 0:00:00,00000000986849,0,1,0,0,0,0,0,1,2,16,,,,3160,1,0,0
31Jan2019 0:00:00,00000000902455,0,0,1,0,0,0,0,1,1,7,19310,,,3140,1,1,0
31Oct2018 0:00:00,00000000630516,0,1,1,0,0,1,0,0,4,11,17030,114000,,,1,0,0
30Apr2018 0:00:00,00000000722753,0,0,0,0,0,0,0,1,1,13,,,,2600,1,1,0
31Jul2018 0:00:00,00000000074401,0,0,1,0,0,0,1,1,2,4,15350,,454000,2560,2,0,0
31Mar2019 0:00:00,00000000892349,0,0,1,0,0,1,1,1,3,16,18860,135000,661000,1740,3,0,0
31Oct2018 0:00:00,00000000931096,0,0,0,0,0,1,0,1,2,10,,85000,,2330,2,0,0
31Mar2018 0:00:00,00000000690309,0,0,1,0,1,1,1,1,3,5,11470,71000,425000,1280,3,0,0
30Sep2018 0:00:00,00000000161556,1,0,0,0,0,0,0,1,1,12,,,,500,1,1,1
31Aug2018 0:00:00,00000000916429,0,0,0,0,1,0,0,1,1,16,,,,1640,1,1,0
28Feb2019 0:00:00,00000000756061,1,0,0,1,1,1,0,1,2,18,,142000,,4360,2,0,0
31Mar2018 0:00:00,00000000987165,0,0,1,0,1,0,0,1,1,10,23990,,,2350,1,1,0
30Nov2018 0:00:00,00000000971062,0,0,0,0,0,0,0,1,1,11,,,,1980,1,1,0
31Aug2018 0:00:00,00000000995605,0,0,1,0,1,0,1,1,2,7,28730,,369000,2020,2,0,1
31Mar2018 0:00:00,00000000665531,0,0,0,0,1,0,0,1,1,15,,,,2660,1,1,0
30Jun2018 0:00:00,00000000829813,0,1,0,1,1,0,0,1,1,14,,,,1490,1,1,0
30Sep2018 0:00:00,00000000687139,0,0,0,0,1,1,0,1,2,11,,20000,,2210,2,0,0
31Mar2019 0:00:00,00000000611082,0,0,0,0,0,0,0,1,1,15,,,,2990,1,1,0
31Jul2018 0:00:00,00000000557377,0,0,0,0,0,0,0,1,1,5,,,,1280,1,1,0
31Oct2018 0:00:00,00000000163825,0,0,0,0,1,1,1,1,3,6,,154000,696000,500,3,0,1
31Oct2018 0:00:00,00000000933242,0,0,0,0,0,1,1,1,3,9,,129000,639000,2950,3,0,1
31Aug2018 0:00:00,00000000963565,0,1,0,0,1,0,0,1,1,126,,,,1720,1,1,0
31Dec2018 0:00:00,00000000059192,0,0,0,1,1,1,1,1,3,9,,168000,566000,420,3,0,0
30Apr2018 0:00:00,00000000585452,0,0,0,0,0,0,0,1,1,16,,,,960,1,1,0
30Nov2018 0:00:00,00000000002965,0,0,0,0,0,0,0,1,1,6,,,,1510,1,1,0
31Mar2018 0:00:00,00000000664300,0,0,1,0,0,0,0,1,1,0,13980,,,2770,1,1,0
31Jan2019 0:00:00,00000000932444,0,0,1,0,0,1,1,1,3,11,15680,150000,498000,100,3,0,0
28Feb2019 0:00:00,00000000950033,0,0,0,0,0,0,1,1,2,20,,,395000,770,2,0,0
28Feb2019 0:00:00,00000000690123,0,0,0,0,1,0,0,1,1,4,,,,1690,1,1,0
31Mar2019 0:00:00,00000000980998,0,0,1,0,1,0,0,1,1,11,21840,,,2160,1,1,0
31Jan2019 0:00:00,00000000938356,0,0,0,0,0,0,0,1,2,6,,,,2580,1,0,0
31May2018 0:00:00,00000000324810,0,0,0,0,0,0,0,1,1,12,,,,440,1,1,1
31Oct2018 0:00:00,00000000990862,0,0,0,0,0,1,0,1,2,19,,116000,,2740,2,0,0
31Aug2018 0:00:00,00000000583703,0,1,0,0,0,1,0,1,2,9,,125000,,100,2,0,0
31Mar2018 0:00:00,00000000988733,0,0,1,0,1,1,0,1,2,6,18330,204000,,2320,2,0,1
30Sep2018 0:00:00,00000000655415,0,0,1,0,0,1,1,1,3,8,19350,232000,533000,220,3,0,1
31Mar2018 0:00:00,00000000954997,0,0,1,0,0,1,0,1,2,14,20980,179000,,1350,2,0,0
28Feb2019 0:00:00,00000000849252,0,1,1,0,1,1,0,1,2,5,17820,114000,,100,2,0,0
31Jan2019 0:00:00,00000000962376,0,1,1,0,1,1,1,1,3,11,19200,138000,281000,1950,3,0,0
30Sep2018 0:00:00,00000000795899,0,0,1,0,1,0,0,1,1,0,15870,,,3010,1,1,0
31Mar2018 0:00:00,00000000965498,0,1,0,0,0,0,0,1,1,0,,,,4200,1,1,0
30Sep2018 0:00:00,00000000615490,0,0,0,0,1,1,0,1,2,7,,274000,,2540,2,0,0
31Mar2019 0:00:00,00000000966968,0,0,1,0,1,1,1,1,3,12,19350,118000,383000,640,3,0,0
28Feb2019 0:00:00,00000000680461,0,0,0,0,0,0,0,1,1,8,,,,3210,1,1,0
31Mar2018 0:00:00,00000000580977,0,0,0,0,0,1,1,1,3,13,,138000,601000,120,3,0,0
31Dec2018 0:00:00,00000000815088,0,0,0,0,0,0,1,1,2,10,,,688000,2930,2,0,0
28Feb2019 0:00:00,00000000991488,0,0,0,0,0,1,0,1,2,12,,107000,,2750,2,0,0
28Feb2019 0:00:00,00000000749756,0,0,1,0,0,1,0,1,2,15,25660,167000,,1020,2,0,0
31Dec2018 0:00:00,00000000712767,0,0,0,0,1,0,0,1,1,13,,,,3410,1,1,1
31Oct2018 0:00:00,00000000350051,0,0,0,0,0,1,0,1,2,16,,148000,,2040,2,0,0
31May2018 0:00:00,00000000900378,0,0,0,0,1,0,0,1,2,1,,,,2000,1,0,0
31Aug2018 0:00:00,00000000847715,0,0,0,1,0,1,0,1,2,6,,163000,,3180,2,0,0
30Jun2018 0:00:00,00000000850749,0,0,0,0,1,0,0,1,1,11,,,,100,1,1,0
31Jan2019 0:00:00,00000000850305,0,0,1,0,0,0,1,0,1,2,20600,,224000,,1,1,0
31Aug2018 0:00:00,00000000906368,0,1,0,0,0,1,0,1,2,6,,74000,,2520,2,0,0
31Mar2019 0:00:00,00000000980311,0,1,1,0,0,0,0,0,0,17,23340,,,,0,0,1
30Nov2018 0:00:00,00000000766974,0,0,1,0,0,0,0,1,1,10,16350,,,2800,1,1,0
31Mar2018 0:00:00,00000000965851,0,0,0,0,1,1,1,1,3,1,,37000,592000,2200,3,0,0
30Nov2018 0:00:00,00000000341462,0,0,0,0,1,0,0,1,1,13,,,,660,1,1,0
30Nov2018 0:00:00,00000000835525,0,0,0,0,0,0,0,1,1,0,,,,1430,1,1,0
30Nov2018 0:00:00,00000000859533,0,0,1,0,0,1,0,1,2,2,22020,128000,,1530,2,0,0
31Oct2018 0:00:00,00000000992524,0,1,1,0,0,0,1,1,2,9,25240,,477000,3790,2,0,0
31Jul2018 0:00:00,00000000017825,0,0,0,0,0,1,0,1,2,5,,223000,,190,2,0,0
30Nov2018 0:00:00,00000000917187,0,0,0,0,1,0,1,1,3,9,,,344000,1110,2,0,0
31Jul2018 0:00:00,00000000898784,0,0,1,0,0,0,0,1,3,12,130190,,,1680,1,0,0
31Oct2018 0:00:00,00000000673545,0,0,0,0,1,1,0,1,2,20,,109000,,2660,2,0,0
31Jul2018 0:00:00,00000000992031,0,0,0,0,1,1,0,1,2,22,,220000,,1440,2,0,0
30Apr2018 0:00:00,00000000787660,0,0,0,0,0,0,0,1,1,8,,,,3660,1,1,0
31Jan2019 0:00:00,00000000958501,0,0,0,0,1,1,0,1,2,14,,231000,,1650,2,0,0
30Sep2018 0:00:00,00000000020534,0,0,0,0,1,0,0,1,1,9,,,,880,1,1,0
31Mar2019 0:00:00,00000000914389,0,0,0,0,1,1,0,0,1,10,,121000,,,1,1,0
30Nov2018 0:00:00,00000000111874,0,0,0,0,1,1,1,1,3,12,,202000,398000,3410,3,0,0
31Dec2018 0:00:00,00000000958387,0,0,0,0,0,1,0,1,2,7,,82000,,2220,2,0,0
31Mar2018 0:00:00,00000000612027,0,1,1,0,0,1,1,0,2,14,23920,192000,536000,,2,0,0
28Feb2019 0:00:00,00000000549249,0,1,1,0,0,0,0,1,4,8,26530,,,1130,1,0,0
30Jun2018 0:00:00,00000000490249,0,0,1,0,1,1,0,1,2,12,29040,133000,,1170,2,0,0
30Apr2018 0:00:00,00000000539016,0,0,1,1,0,0,1,1,2,15,14030,,591000,3300,2,0,0
30Sep2018 0:00:00,00000000734999,0,0,1,0,1,0,0,1,1,14,17640,,,2080,1,1,0
30Sep2018 0:00:00,00000000986859,0,0,1,0,1,0,0,1,1,7,20870,,,2190,1,1,0
31Mar2018 0:00:00,00000000511088,0,0,1,0,0,1,0,1,2,9,16070,136000,,3730,2,0,0
31Jul2018 0:00:00,00000000098530,0,0,0,0,1,0,0,1,1,18,,,,2170,1,1,0
28Feb2019 0:00:00,00000000744469,0,0,0,0,0,0,0,1,3,6,,,,1620,1,0,1
31Mar2018 0:00:00,00000000545168,0,0,1,0,0,0,0,1,1,3,25160,,,1930,1,1,0
30Jun2018 0:00:00,00000000718477,0,1,0,0,0,0,1,1,2,10,,,415000,3850,2,0,0
30Jun2018 0:00:00,00000000908487,0,1,0,0,0,0,0,0,0,4,,,,,0,0,0
28Feb2019 0:00:00,00000000819732,0,0,1,0,0,1,0,1,3,6,24870,216000,,2330,2,0,0
31May2018 0:00:00,00000000977470,0,0,0,0,0,1,0,1,2,22,,163000,,1400,2,0,0
31Dec2018 0:00:00,00000000359212,1,0,1,0,1,1,0,1,2,9,23680,147000,,100,2,0,0
31Jul2018 0:00:00,00000000904014,0,0,0,0,1,1,0,1,2,14,,161000,,3180,2,0,1
31Mar2018 0:00:00,00000000364589,0,1,0,0,0,0,0,1,1,6,,,,770,1,1,0
31Mar2019 0:00:00,00000000903676,0,1,0,0,0,1,0,1,2,17,,176000,,2370,2,0,1
30Sep2018 0:00:00,00000000768694,1,0,1,0,1,0,1,1,2,8,22480,,373000,1940,2,0,0
31May2018 0:00:00,00000000866079,0,0,0,0,0,1,0,1,5,7,,151000,,1010,2,0,0
30Nov2018 0:00:00,00000000123880,1,0,0,0,0,0,0,1,1,15,,,,2910,1,1,0
31Dec2018 0:00:00,00000000549432,1,0,0,0,1,0,0,1,1,13,,,,2280,1,1,0
31Oct2018 0:00:00,00000000393467,0,0,1,0,0,0,0,1,1,7,18960,,,3180,1,1,0
31Jul2018 0:00:00,00000000901621,0,0,0,0,0,1,1,1,3,12,,194000,592000,2180,3,0,1
31Dec2018 0:00:00,00000000768499,0,0,0,0,1,1,0,0,1,13,,139000,,,1,1,0
31Jul2018 0:00:00,00000000882918,0,0,0,0,0,0,0,1,1,18,,,,1720,1,1,0
31Jul2018 0:00:00,00000000959649,0,0,0,0,0,0,0,1,1,6,,,,2170,1,1,0
30Jun2018 0:00:00,00000000960216,0,1,1,0,0,0,0,1,3,9,28500,,,1620,1,0,0
31Dec2018 0:00:00,00000000094078,0,0,0,0,0,1,0,1,2,10,,166000,,2790,2,0,0
31Jul2018 0:00:00,00000000000840,0,0,0,0,1,0,0,1,2,5,,,,1790,1,0,1
30Sep2018 0:00:00,00000000075217,0,0,1,0,0,1,0,1,2,11,24840,230000,,2150,2,0,0
31Aug2018 0:00:00,00000000896503,1,0,1,0,0,0,0,1,1,17,17730,,,2680,1,1,0
31Mar2018 0:00:00,00000000939677,0,0,0,0,0,0,0,1,1,19,,,,1560,1,1,0
31Mar2018 0:00:00,00000000950346,0,1,0,0,0,1,1,1,3,12,,230000,315000,2260,3,0,0
31Oct2018 0:00:00,00000000574747,0,0,1,0,0,0,0,1,2,14,20980,,,250,1,0,0
31Oct2018 0:00:00,00000000797121,0,0,0,0,1,1,1,1,3,7,,123000,471000,2050,3,0,0
28Feb2019 0:00:00,00000000057791,0,0,1,0,0,1,0,1,2,1,22230,156000,,2690,2,0,0
31Jul2018 0:00:00,00000000311396,0,1,0,0,0,0,0,1,1,4,,,,1630,1,1,0
30Sep2018 0:00:00,00000000941038,0,0,0,0,0,0,1,1,2,5,,,313000,2940,2,0,0
30Nov2018 0:00:00,00000000767950,0,0,0,0,0,0,0,1,1,10,,,,2540,1,1,0
30Sep2018 0:00:00,00000000406007,0,1,0,0,0,0,0,1,1,18,,,,1590,1,1,0
31Dec2018 0:00:00,00000000292310,0,1,0,0,0,1,1,1,3,4,,163000,291000,140,3,0,0
30Jun2018 0:00:00,00000000961319,0,0,0,0,1,0,0,1,1,6,,,,2620,1,1,1
31Jul2018 0:00:00,00000000982375,0,0,0,0,1,0,0,1,2,6,,,,2650,1,0,0
31Oct2018 0:00:00,00000000781822,0,0,1,0,1,0,0,1,1,17,24430,,,3440,1,1,0
31Mar2019 0:00:00,00000000930824,0,0,0,0,0,0,0,1,1,9,,,,600,1,1,1
31Jul2018 0:00:00,00000000794849,0,1,1,0,1,0,0,1,1,7,23080,,,3480,1,1,0
30Nov2018 0:00:00,00000000660146,0,1,1,0,0,0,0,1,1,12,20680,,,2520,1,1,0
28Feb2019 0:00:00,00000000479572,0,0,0,0,0,0,0,1,1,5,,,,2760,1,1,0
30Jun2018 0:00:00,00000000977995,0,0,1,0,0,0,0,1,1,9,17420,,,2230,1,1,0
31May2018 0:00:00,00000000964813,0,0,1,0,0,1,0,1,2,6,24530,258000,,2580,2,0,0
31Mar2019 0:00:00,00000000874099,1,0,1,0,0,0,0,1,1,12,17730,,,2060,1,1,0
30Nov2018 0:00:00,00000000529510,0,1,0,0,1,1,0,1,2,3,,173000,,3840,2,0,0
31Dec2018 0:00:00,00000000704367,0,0,0,1,1,0,0,1,1,12,,,,2730,1,1,0
31Jul2018 0:00:00,00000000758770,0,0,0,0,0,0,0,1,1,0,,,,1660,1,1,0
28Feb2019 0:00:00,00000000892906,0,0,1,0,1,0,0,1,1,15,21010,,,2680,1,1,0
31Jul2018 0:00:00,00000000802537,0,0,0,0,0,0,0,1,1,13,,,,1600,1,1,0
30Apr2018 0:00:00,00000000718283,0,1,0,0,1,0,0,1,1,12,,,,1670,1,1,0
