MOIS,CLIENT_ID,homme,courriel,Langue_Francais,naissance,logement,profession,nb_enfant,ville,education,age,revenu,revenu_foyer
31Mar2019 0:00:00,00000000824747,1,1,1,0,0,1,0,4,5,39,74000,134000
30Apr2018 0:00:00,00000000975429,1,1,1,0,0,4,0,6,1,224,79000,161000
31May2018 0:00:00,00000000727604,1,1,1,0,1,1,0,6,3,38,101000,116000
30Sep2018 0:00:00,00000000082372,1,1,1,0,1,3,0,4,1,59,64000,64000
31May2018 0:00:00,00000000712304,0,1,1,1,0,1,3,3,3,48,105000,105000
31Oct2018 0:00:00,00000000068905,1,0,0,0,1,5,3,6,4,41,74000,74000
31Dec2018 0:00:00,00000000797001,1,1,1,0,0,5,2,3,1,58,66000,66000
31Mar2018 0:00:00,00000000018523,0,1,1,0,0,1,0,4,5,39,66000,100000
31Dec2018 0:00:00,00000000923905,1,1,1,1,0,5,3,6,1,31,62000,143000
31Jan2019 0:00:00,00000000988969,1,1,0,0,1,3,0,3,4,46,50000,82000
30Apr2018 0:00:00,00000000624301,0,0,1,0,0,1,0,1,3,60,63000,183000
30Jun2018 0:00:00,00000000995213,1,1,0,1,0,1,1,5,2,26,107000,107000
30Nov2018 0:00:00,00000000825711,1,1,1,0,1,2,0,6,3,48,17000,168000
31Jul2018 0:00:00,00000000809275,0,1,1,0,0,5,0,6,5,62,88000,152000
30Nov2018 0:00:00,00000000861077,1,0,0,1,0,2,2,6,1,49,80000,133000
31Dec2018 0:00:00,00000000800729,1,1,1,0,0,3,0,6,1,48,36000,100000
31Jan2019 0:00:00,00000000707476,0,1,1,0,0,1,0,5,1,28,72000,105000
31Oct2018 0:00:00,00000000984385,1,0,0,0,1,4,0,6,3,26,39000,227000
31Dec2018 0:00:00,00000000414475,0,1,0,0,0,3,0,4,3,48,58000,139000
31Mar2018 0:00:00,00000000704320,0,0,1,0,1,6,1,6,5,32,29000,256000
31May2018 0:00:00,00000000831740,0,1,0,1,0,3,1,4,2,69,48000,162000
28Feb2019 0:00:00,00000000313512,1,1,0,1,0,2,1,1,5,30,74000,172000
31Dec2018 0:00:00,00000000994232,1,0,1,0,1,2,3,6,1,38,36000,36000
28Feb2019 0:00:00,00000000909086,1,0,0,0,0,2,0,4,4,53,89000,89000
30Jun2018 0:00:00,00000000737502,1,1,0,0,1,2,0,3,3,77,79000,79000
31Oct2018 0:00:00,00000000957564,0,1,1,1,1,2,3,4,1,88,84000,168000
31Jul2018 0:00:00,00000000989320,1,0,0,1,0,3,5,6,5,66,44000,74000
31Jan2019 0:00:00,00000000569234,0,0,1,0,0,1,0,6,3,72,41000,139000
30Nov2018 0:00:00,00000000819319,1,1,0,0,0,2,0,1,1,33,52000,150000
28Feb2019 0:00:00,00000000795073,1,1,1,1,0,3,1,3,3,41,57000,91000
31Aug2018 0:00:00,00000000771452,0,1,0,0,0,2,0,4,1,58,87000,93000
31Dec2018 0:00:00,00000000523051,1,1,0,0,0,3,0,6,4,40,35000,108000
30Jun2018 0:00:00,00000000881983,0,1,0,0,0,4,0,4,1,37,82000,120000
31Jul2018 0:00:00,00000000896882,0,1,0,0,0,5,0,5,5,36,68000,130000
31Aug2018 0:00:00,00000000399482,1,0,1,0,0,2,0,2,1,35,58000,217000
31Mar2019 0:00:00,00000000922887,0,1,0,0,0,3,1,4,3,61,19000,19000
30Sep2018 0:00:00,00000000684501,0,1,0,0,0,1,0,3,4,55,57000,71000
31Aug2018 0:00:00,00000000915468,1,1,1,0,0,6,0,6,5,24,72000,122000
31Oct2018 0:00:00,00000000928059,0,0,1,0,0,4,0,4,5,62,65000,126000
30Jun2018 0:00:00,00000000813560,1,1,1,0,0,2,0,6,4,78,32000,274000
31Dec2018 0:00:00,00000000673062,1,1,1,1,0,2,2,5,1,28,34000,78000
31Aug2018 0:00:00,00000000820955,1,1,1,0,1,4,0,6,1,45,50000,50000
31Mar2019 0:00:00,00000000926520,1,1,0,0,1,3,0,6,1,59,70000,97000
31Jul2018 0:00:00,00000000882061,0,1,1,1,0,4,1,4,4,72,114000,114000
30Nov2018 0:00:00,00000000823526,1,0,0,0,0,1,0,1,3,60,44000,44000
30Jun2018 0:00:00,00000000901422,0,0,0,0,1,2,0,5,2,59,75000,161000
31Mar2018 0:00:00,00000000947143,1,1,0,0,0,1,2,1,1,31,102000,102000
31Dec2018 0:00:00,00000000041089,0,1,0,0,0,4,2,6,4,40,70000,100000
31Aug2018 0:00:00,00000000873219,0,0,1,0,0,1,0,2,4,40,40000,301000
30Sep2018 0:00:00,00000000360590,1,1,1,0,0,5,4,1,5,61,95000,361000
30Jun2018 0:00:00,00000000937412,1,0,1,1,0,6,3,6,2,56,54000,137000
31Jan2019 0:00:00,00000000992739,1,1,0,0,0,2,0,5,1,83,68000,98000
31Aug2018 0:00:00,00000000134182,0,0,1,0,0,1,0,6,1,39,48000,251000
31Dec2018 0:00:00,00000000953011,1,1,1,1,0,4,1,6,2,31,50000,55000
30Sep2018 0:00:00,00000000103064,1,1,0,1,1,3,2,6,2,69,76000,218000
31Mar2019 0:00:00,00000000945303,1,0,1,0,0,6,1,6,4,88,66000,154000
31Oct2018 0:00:00,00000000982384,1,1,1,0,1,3,0,5,4,42,79000,79000
30Jun2018 0:00:00,00000000906695,0,1,0,0,0,1,5,6,1,62,62000,94000
30Apr2018 0:00:00,00000000753869,0,0,1,1,0,2,1,4,1,53,38000,80000
28Feb2019 0:00:00,00000000161280,1,1,1,0,0,3,3,5,2,54,51000,109000
31Mar2019 0:00:00,00000000395864,1,1,1,0,0,2,0,4,2,50,35000,98000
31Jan2019 0:00:00,00000000576202,0,0,1,0,1,2,0,6,1,57,42000,42000
31May2018 0:00:00,00000000887427,1,1,1,0,0,3,0,3,1,68,29000,124000
30Jun2018 0:00:00,00000000785141,1,1,0,1,1,1,1,6,5,50,76000,76000
30Jun2018 0:00:00,00000000664874,1,1,0,0,0,5,0,6,1,42,74000,121000
31May2018 0:00:00,00000000063462,0,1,1,0,0,3,1,3,4,48,73000,73000
30Jun2018 0:00:00,00000000617777,1,1,0,0,0,2,0,2,5,25,62000,167000
31Dec2018 0:00:00,00000000887485,0,1,1,0,0,5,2,5,5,21,93000,150000
28Feb2019 0:00:00,00000000964762,1,1,1,0,0,5,0,5,1,45,35000,94000
31Oct2018 0:00:00,00000000725477,0,1,0,0,0,2,4,4,1,68,74000,82000
30Sep2018 0:00:00,00000000650906,1,1,0,0,0,4,0,1,2,26,71000,184000
31May2018 0:00:00,00000000976177,1,0,0,0,0,2,5,6,1,62,62000,62000
31May2018 0:00:00,00000000056846,0,1,1,0,0,5,1,6,4,44,80000,120000
31Mar2018 0:00:00,00000000960896,1,1,1,0,0,3,0,6,3,28,61000,61000
31Mar2018 0:00:00,00000000615344,1,1,1,1,0,3,2,6,1,24,63000,150000
30Apr2018 0:00:00,00000000920111,0,1,0,0,0,6,0,4,2,58,53000,66000
30Jun2018 0:00:00,00000000518082,1,1,1,0,0,1,0,6,1,62,44000,44000
31Dec2018 0:00:00,00000000981736,1,0,1,1,1,5,1,6,1,34,44000,44000
30Apr2018 0:00:00,00000000545565,0,1,1,0,0,4,0,5,5,43,64000,97000
31Jul2018 0:00:00,00000000389858,0,0,1,0,0,2,0,1,2,59,38000,38000
31Mar2019 0:00:00,00000000964598,1,1,0,0,0,3,0,5,1,49,61000,61000
31Jul2018 0:00:00,00000000633183,0,0,0,0,0,2,2,2,4,53,55000,91000
30Jun2018 0:00:00,00000000294359,0,1,1,0,0,1,4,6,4,54,80000,80000
31Mar2018 0:00:00,00000000707196,1,1,1,0,1,3,0,3,1,47,34000,188000
31May2018 0:00:00,00000000824773,1,1,1,0,1,4,5,6,2,66,35000,265000
31Aug2018 0:00:00,00000000832632,0,0,1,1,0,6,3,1,5,74,47000,98000
30Nov2018 0:00:00,00000000931873,1,0,1,0,0,3,2,6,4,23,72000,72000
31Mar2019 0:00:00,00000000978905,1,1,1,0,1,2,0,6,5,59,73000,73000
31Oct2018 0:00:00,00000000569924,1,1,1,0,0,3,0,2,1,52,62000,62000
30Nov2018 0:00:00,00000000992081,1,1,1,1,0,1,3,3,1,65,65000,159000
30Apr2018 0:00:00,00000000394777,1,1,1,0,1,4,0,3,4,41,56000,123000
30Apr2018 0:00:00,00000000917950,0,0,1,0,1,4,0,3,5,43,44000,56000
31Mar2019 0:00:00,00000000995285,0,1,0,0,0,2,0,4,2,999,85000,85000
31Aug2018 0:00:00,00000000753173,0,1,1,0,0,1,2,3,4,55,75000,103000
31Mar2019 0:00:00,00000000528066,1,0,1,0,0,3,0,3,5,52,77000,77000
30Sep2018 0:00:00,00000000954969,0,1,1,1,1,4,1,6,3,46,18000,220000
30Sep2018 0:00:00,00000000953128,0,1,1,1,0,1,3,6,1,51,97000,111000
31Dec2018 0:00:00,00000000591516,0,1,1,0,1,5,0,6,4,30,84000,107000
31Mar2018 0:00:00,00000000902829,0,0,0,0,0,1,0,5,1,85,52000,88000
31Dec2018 0:00:00,00000000857532,1,1,1,0,1,5,0,6,4,53,68000,127000
30Sep2018 0:00:00,00000000907320,0,1,0,0,0,2,0,5,3,61,91000,91000
28Feb2019 0:00:00,00000000726244,1,1,0,0,1,2,3,4,2,36,94000,94000
30Sep2018 0:00:00,00000000971385,1,1,0,0,0,2,1,6,5,72,79000,140000
31Mar2019 0:00:00,00000000868843,0,1,0,0,0,2,1,6,5,67,45000,45000
31Dec2018 0:00:00,00000000848477,1,1,1,0,0,2,0,5,5,43,64000,311000
30Nov2018 0:00:00,00000000974306,1,1,1,1,0,2,4,5,1,45,55000,226000
30Apr2018 0:00:00,00000000985279,1,0,1,1,1,4,1,6,1,35,72000,265000
30Nov2018 0:00:00,00000000968820,1,1,1,0,1,3,0,5,1,48,78000,125000
30Nov2018 0:00:00,00000000989648,0,1,0,1,0,3,2,6,2,31,64000,64000
31May2018 0:00:00,00000000939171,0,1,0,1,0,2,3,3,1,35,50000,320000
31Jan2019 0:00:00,00000000850305,0,1,1,0,0,2,0,2,5,49,49000,133000
30Apr2018 0:00:00,00000000963641,1,1,0,0,0,1,0,5,5,25,94000,94000
31Oct2018 0:00:00,00000000019737,0,0,1,0,0,2,0,3,1,46,103000,233000
31Oct2018 0:00:00,00000000609833,0,1,1,0,0,5,0,6,3,21,80000,80000
31Aug2018 0:00:00,00000000977305,1,0,1,0,0,2,1,5,1,34,61000,61000
28Feb2019 0:00:00,00000000872299,0,0,0,0,1,2,0,1,3,35,109000,172000
30Apr2018 0:00:00,00000000639788,1,0,1,0,0,2,0,3,2,53,81000,148000
31Dec2018 0:00:00,00000000242566,1,1,0,0,1,6,0,3,1,42,42000,42000
30Jun2018 0:00:00,00000000926377,1,1,1,0,0,2,0,1,1,23,56000,101000
31Oct2018 0:00:00,00000000863849,1,1,1,0,0,4,0,6,1,49,47000,112000
31Dec2018 0:00:00,00000000724289,0,1,0,0,0,2,0,6,1,37,73000,73000
31Aug2018 0:00:00,00000000501394,1,0,1,0,0,1,0,3,1,27,54000,71000
31Mar2018 0:00:00,00000000820870,1,1,1,0,1,1,0,1,1,38,39000,188000
31Oct2018 0:00:00,00000000865314,0,1,1,1,0,5,2,5,2,27,60000,60000
31Jan2019 0:00:00,00000000793240,0,1,1,0,0,6,0,6,3,46,99000,354000
31Dec2018 0:00:00,00000000992176,1,1,1,1,1,6,3,4,2,75,49000,92000
30Apr2018 0:00:00,00000000893799,0,0,0,0,1,1,0,5,2,33,58000,129000
31Oct2018 0:00:00,00000000931428,0,1,1,0,1,4,2,6,1,39,93000,181000
30Jun2018 0:00:00,00000000924361,0,1,1,0,1,6,2,1,2,19,75000,187000
31Mar2018 0:00:00,00000000577312,1,1,0,1,0,6,2,5,2,51,80000,96000
31Dec2018 0:00:00,00000000300417,1,0,0,0,0,2,0,6,2,43,56000,192000
31Aug2018 0:00:00,00000000969674,1,1,1,0,1,2,0,6,4,81,50000,63000
31Dec2018 0:00:00,00000000650690,1,1,1,0,1,5,0,6,1,90,31000,159000
31Mar2018 0:00:00,00000000944289,0,1,1,0,0,3,0,3,5,49,38000,38000
31Jul2018 0:00:00,00000000857016,1,0,1,0,0,3,0,6,2,60,57000,183000
31May2018 0:00:00,00000000519575,0,1,1,1,1,3,2,6,4,65,69000,153000
31Aug2018 0:00:00,00000000288129,0,0,0,0,0,2,2,6,2,45,49000,120000
31Mar2019 0:00:00,00000000776695,0,0,1,0,0,2,2,3,5,23,90000,211000
28Feb2019 0:00:00,00000000965321,1,1,1,0,0,2,1,6,1,48,69000,69000
30Sep2018 0:00:00,00000000689036,0,1,0,1,1,3,1,6,5,44,48000,144000
31May2018 0:00:00,00000000924120,1,1,0,0,0,3,1,3,5,77,15000,99000
31Jan2019 0:00:00,00000000988217,0,0,1,0,0,4,0,1,2,59,50000,194000
28Feb2019 0:00:00,00000000983328,1,0,1,0,0,6,0,6,1,68,57000,155000
31May2018 0:00:00,00000000878536,0,1,1,0,1,1,0,5,4,63,50000,258000
31Mar2019 0:00:00,00000000123493,1,1,1,0,0,3,0,3,5,75,77000,77000
31Mar2018 0:00:00,00000000976327,1,1,0,0,1,4,1,6,4,46,69000,137000
30Sep2018 0:00:00,00000000991515,0,1,0,0,0,2,0,1,5,50,71000,104000
31Jan2019 0:00:00,00000000962612,0,1,0,0,0,3,0,4,4,37,89000,89000
31Jan2019 0:00:00,00000000945248,0,0,1,0,0,6,0,3,2,48,45000,45000
31May2018 0:00:00,00000000882260,1,1,0,0,1,4,0,1,3,41,69000,69000
31Jul2018 0:00:00,00000000523715,0,1,1,0,0,2,1,6,2,82,42000,106000
31Dec2018 0:00:00,00000000750988,1,1,1,0,0,3,1,6,1,47,67000,160000
31Mar2019 0:00:00,00000000955759,1,0,1,0,1,6,0,6,3,60,78000,112000
31Aug2018 0:00:00,00000000794384,0,1,1,0,1,3,4,3,5,66,97000,149000
31May2018 0:00:00,00000000924963,0,0,1,1,1,1,6,1,4,44,71000,128000
30Apr2018 0:00:00,00000000379579,0,1,1,0,1,1,1,6,3,46,38000,58000
31May2018 0:00:00,00000000888104,1,0,1,0,1,2,0,5,1,78,57000,221000
31Mar2018 0:00:00,00000000753500,0,1,0,1,1,4,5,5,2,58,66000,66000
31Jul2018 0:00:00,00000000129076,1,0,1,0,0,2,0,4,1,56,68000,68000
30Jun2018 0:00:00,00000000451699,1,1,0,0,1,2,2,6,5,41,71000,71000
30Apr2018 0:00:00,00000000965706,1,1,0,0,0,6,0,4,2,31,50000,87000
31Aug2018 0:00:00,00000000841739,1,1,1,0,1,1,0,1,1,45,54000,116000
31Jan2019 0:00:00,00000000843978,0,0,1,0,0,3,3,6,1,80,91000,185000
31May2018 0:00:00,00000000600373,0,1,1,0,0,5,0,6,3,72,48000,121000
30Jun2018 0:00:00,00000000970896,0,1,1,0,1,6,0,4,5,65,59000,78000
28Feb2019 0:00:00,00000000828363,1,1,0,1,0,1,2,6,1,57,36000,98000
31Oct2018 0:00:00,00000000881698,0,0,0,0,0,3,0,6,1,43,87000,87000
30Jun2018 0:00:00,00000000594568,1,1,0,1,0,2,2,1,1,29,92000,104000
30Apr2018 0:00:00,00000000596145,1,1,0,0,1,6,0,6,2,50,74000,193000
30Apr2018 0:00:00,00000000913562,1,1,1,0,0,2,2,1,1,41,68000,318000
30Nov2018 0:00:00,00000000988107,0,1,0,0,1,1,0,6,1,24,38000,121000
30Jun2018 0:00:00,00000000915830,1,0,1,0,1,3,0,4,4,39,69000,82000
31Aug2018 0:00:00,00000000968427,1,0,1,1,0,2,1,1,3,48,67000,215000
31Jul2018 0:00:00,00000000844447,1,1,1,0,0,6,0,6,2,30,59000,205000
31Dec2018 0:00:00,00000000311870,1,1,0,0,0,2,0,1,2,26,37000,155000
30Apr2018 0:00:00,00000000843004,1,1,0,1,1,3,4,5,2,66,84000,110000
30Apr2018 0:00:00,00000000926868,1,0,1,0,0,1,0,2,3,55,75000,229000
31Aug2018 0:00:00,00000000939629,1,1,0,0,0,1,0,6,4,57,69000,69000
31May2018 0:00:00,00000000008411,0,1,0,0,0,1,2,5,2,35,34000,63000
31Oct2018 0:00:00,00000000729428,1,0,0,1,0,4,1,1,1,63,64000,86000
31Oct2018 0:00:00,00000000772743,0,0,0,0,0,1,0,5,3,63,93000,93000
31Dec2018 0:00:00,00000000881029,0,1,0,1,0,3,5,5,4,41,73000,156000
28Feb2019 0:00:00,00000000944394,0,0,1,1,0,3,2,6,5,62,22000,127000
31Dec2018 0:00:00,00000000946696,1,1,0,1,0,1,1,4,2,46,40000,130000
31May2018 0:00:00,00000000941226,0,1,1,1,1,2,2,6,2,48,81000,81000
31Oct2018 0:00:00,00000000776811,1,0,0,0,0,2,0,1,5,82,56000,97000
31Mar2019 0:00:00,00000000955334,0,0,1,0,0,4,0,6,2,62,63000,287000
31Jul2018 0:00:00,00000000986407,1,0,0,0,0,1,0,6,5,26,52000,186000
30Jun2018 0:00:00,00000000859065,0,1,1,0,0,2,0,5,3,46,88000,189000
31Aug2018 0:00:00,00000000988769,1,0,0,0,0,1,0,4,2,49,33000,175000
30Jun2018 0:00:00,00000000311541,0,1,1,0,0,4,0,4,3,48,27000,138000
31Oct2018 0:00:00,00000000061958,0,1,1,0,0,2,0,4,1,49,83000,83000
31Mar2018 0:00:00,00000000854369,0,1,1,1,0,2,6,6,5,35,71000,195000
31Oct2018 0:00:00,00000000078323,1,1,1,1,1,3,2,5,2,29,77000,99000
31Dec2018 0:00:00,00000000768499,1,1,1,0,1,6,0,1,1,49,102000,102000
30Sep2018 0:00:00,00000000578229,0,1,0,0,1,6,0,1,4,48,42000,174000
31Mar2018 0:00:00,00000000760741,1,1,0,0,0,3,0,6,1,36,52000,189000
31Aug2018 0:00:00,00000000807876,0,1,1,0,0,1,3,4,1,43,37000,126000
31Mar2019 0:00:00,00000000996007,0,1,1,0,0,1,0,6,1,54,46000,76000
31May2018 0:00:00,00000000434526,0,0,0,0,1,6,0,6,3,999,54000,93000
31Oct2018 0:00:00,00000000340279,1,1,1,0,1,4,0,5,1,71,91000,91000
31May2018 0:00:00,00000000971220,0,1,1,0,0,2,0,4,5,50,70000,197000
30Sep2018 0:00:00,00000000871111,1,1,1,0,0,6,0,6,4,41,63000,173000
31Jan2019 0:00:00,00000000395397,1,0,1,0,0,1,0,3,1,50,66000,75000
31Jan2019 0:00:00,00000000603170,0,0,1,1,1,2,4,4,4,51,38000,38000
31May2018 0:00:00,00000000080824,1,0,0,1,0,5,3,4,2,32,103000,1419000
31Mar2018 0:00:00,00000000935391,1,1,1,0,0,4,0,5,2,26,64000,197000
31Oct2018 0:00:00,00000000993251,1,1,0,0,1,1,0,5,5,58,32000,53000
31Mar2019 0:00:00,00000000856200,1,1,1,0,0,6,0,4,1,47,66000,237000
31Jan2019 0:00:00,00000000804763,1,1,0,0,0,2,0,1,1,75,79000,79000
30Apr2018 0:00:00,00000000772430,0,1,0,1,1,1,1,2,4,52,71000,197000
31Jan2019 0:00:00,00000000984214,1,1,0,0,0,3,0,5,4,73,63000,147000
31Jan2019 0:00:00,00000000973687,1,1,1,0,0,2,0,5,1,75,68000,145000
31Dec2018 0:00:00,00000000675724,0,1,0,0,1,1,0,6,1,61,58000,230000
